movie_id,title,genres,total_watches,avg_completion_pct,early_dropoff_pct
1178,Paths of Glory (1957),Drama|War,12,90.6,0.0
1041,Secrets & Lies (1996),Drama,11,90.5,0.0
8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama,10,88.8,0.0
1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western,18,87.8,0.0
3451,Guess Who's Coming to Dinner (1967),Drama,11,86.9,0.0
951,His Girl Friday (1940),Comedy|Romance,14,86.8,0.0
4967,No Man's Land (2001),Drama|War,13,86.7,0.0
1927,All Quiet on the Western Front (1930),Action|Drama|War,10,86.6,0.0
318,"Shawshank Redemption, The (1994)",Crime|Drama,317,86.4,0.6
3683,Blood Simple (1984),Crime|Drama|Film-Noir,19,86.1,0.0
1719,"Sweet Hereafter, The (1997)",Drama,16,86.1,0.0
1217,Ran (1985),Drama|War,15,86.0,0.0
2921,High Plains Drifter (1973),Western,11,85.9,0.0
930,Notorious (1946),Film-Noir|Romance|Thriller,20,85.8,0.0
176,Living in Oblivion (1995),Comedy,13,85.8,0.0
1189,"Thin Blue Line, The (1988)",Documentary,11,85.7,0.0
55721,Elite Squad (Tropa de Elite) (2007),Action|Crime|Drama|Thriller,10,85.5,0.0
3062,"Longest Day, The (1962)",Action|Drama|War,11,85.4,0.0
905,It Happened One Night (1934),Comedy|Romance,14,85.3,0.0
1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller,24,85.2,4.2
