search_id,user_id,search_query,searched_movie_id,clicked_movie_id,search_timestamp,result_rank
1,1,Wedding Crashers,34162,,2025-11-13 05:19:50,8
2,1,Terminator 2: Judgment Day,589,589.0,2026-05-29 22:13:12,3
3,1,"Thirteenth Floor, The",2672,,2026-03-12 23:47:12,5
4,1,Pirates of the Caribbean: The Curse of the Black Pearl,6539,6539.0,2026-04-24 07:48:47,6
5,1,Scary Movie 3,6888,6888.0,2026-03-07 05:49:49,6
6,1,The Magnificent Seven,162350,162350.0,2026-02-13 04:09:45,1
7,1,Patriot Games,3256,,2026-05-24 11:59:37,9
8,2,"American Tail: Fievel Goes West, An",2142,2142.0,2026-05-13 05:23:30,3
9,2,The Jungle Book,137857,137857.0,2025-11-08 07:18:54,9
10,2,"5,000 Fingers of Dr. T, The",4294,4294.0,2026-05-02 20:56:24,5
11,2,Leaving Las Vegas,25,,2026-08-28 22:50:40,9
12,2,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",41566,41566.0,2026-06-19 00:42:35,9
13,2,Platoon,1090,,2026-03-29 03:05:05,7
14,2,"Holiday, The",49286,,2026-02-28 01:53:03,3
15,2,"Third Man, The",1212,,2026-02-23 23:58:01,8
16,2,Police Academy 3: Back in Training,2380,,2026-02-02 18:27:57,6
17,2,"Phantom, The",761,761.0,2026-01-25 22:44:24,2
18,2,"Queen of Versailles, The",96150,96150.0,2025-10-06 21:57:10,4
19,3,Tampopo,3819,,2026-02-25 19:06:31,9
20,3,Fantastic Four: Rise of the Silver Surfer,53464,53464.0,2025-10-02 15:35:39,2
21,3,Transformers: The Movie,4006,,2026-08-01 01:20:59,9
22,3,High Fidelity,3481,,2025-11-03 07:27:14,9
23,3,Beauty and the Beast,595,,2026-06-09 11:05:44,9
24,3,Ocean's Twelve,8984,8984.0,2026-07-12 20:44:02,8
25,3,Friends with Money,44864,44864.0,2026-08-28 18:09:52,1
26,3,Kingdom of Heaven,33162,,2026-03-30 03:40:32,5
27,4,"Age of Innocence, The",412,,2026-03-04 09:24:58,7
28,4,10 Things I Hate About You,2572,2572.0,2025-11-07 02:47:04,1
29,4,Raising Arizona,1394,,2026-05-28 01:02:24,8
30,4,Cast Away,4022,,2026-01-20 07:29:27,6
31,4,Radio Days,2750,,2026-02-22 03:46:31,5
32,4,"Bourne Ultimatum, The",54286,54286.0,2026-06-09 13:28:49,5
33,4,Finding Neverland,8970,8970.0,2026-06-23 22:11:17,7
34,4,American Wedding,6586,6586.0,2026-07-24 09:28:14,10
35,4,Maverick,368,,2026-06-18 22:24:25,7
36,4,Battleship Potemkin,3742,,2026-03-07 08:48:59,4
37,5,Blow,4239,,2026-06-11 23:47:58,4
38,5,Hannibal,4148,4148.0,2026-06-08 07:01:47,3
39,5,Arthur Christmas,91414,91414.0,2025-10-28 00:58:02,9
