user_id,signup_date,region,device,subscription_tier
1,2025-05-16,Suburban,Laptop,Premium
2,2024-11-29,Urban,Mobile,Free
3,2026-04-03,Urban,Laptop,Premium
4,2024-11-16,Rural,Mobile,Basic
5,2025-12-03,Urban,Mobile,Free
6,2025-02-09,Urban,Mobile,Premium
7,2025-10-16,Urban,Mobile,Premium
8,2024-11-12,Urban,Mobile,Basic
9,2025-10-31,Urban,TV,Free
10,2026-05-16,Urban,Mobile,Basic
11,2025-12-25,Urban,Mobile,Basic
12,2025-04-12,Suburban,Laptop,Free
13,2025-06-08,Suburban,Mobile,Basic
14,2025-07-18,Urban,Mobile,Free
15,2025-02-22,Urban,Laptop,Premium
16,2025-08-16,Urban,Mobile,Basic
17,2025-08-20,Rural,Mobile,Basic
18,2026-01-19,Suburban,Laptop,Basic
19,2025-09-13,Urban,Laptop,Premium
20,2025-01-12,Urban,Mobile,Premium
21,2025-09-22,Suburban,Mobile,Premium
22,2026-01-27,Urban,Mobile,Basic
23,2025-09-18,Urban,TV,Premium
24,2024-10-20,Urban,TV,Free
25,2024-12-26,Suburban,TV,Premium
26,2025-02-13,Urban,TV,Free
27,2024-12-15,Suburban,Mobile,Basic
28,2025-04-08,Urban,Mobile,Premium
29,2026-04-07,Suburban,Mobile,Basic
30,2025-08-09,Urban,Laptop,Free
31,2025-09-16,Suburban,TV,Basic
32,2025-12-29,Urban,TV,Basic
33,2025-07-28,Urban,Mobile,Premium
34,2024-11-20,Urban,Mobile,Premium
35,2025-02-20,Rural,Mobile,Basic
36,2026-07-21,Suburban,Mobile,Premium
37,2024-11-09,Urban,Mobile,Basic
38,2026-01-13,Suburban,Laptop,Premium
39,2024-11-11,Suburban,Laptop,Basic
40,2025-09-17,Urban,Laptop,Premium
41,2025-02-22,Urban,Laptop,Basic
42,2025-02-19,Urban,Mobile,Premium
43,2026-06-21,Urban,Laptop,Free
44,2025-01-24,Urban,Mobile,Free
45,2026-03-17,Rural,Mobile,Premium
46,2025-08-13,Suburban,Mobile,Basic
47,2026-04-21,Rural,Laptop,Basic
48,2025-03-25,Urban,Mobile,Basic
49,2026-02-26,Urban,Mobile,Basic
50,2026-03-19,Urban,Mobile,Premium
51,2025-12-08,Urban,Mobile,Free
52,2024-09-15,Urban,Laptop,Basic
53,2025-08-27,Urban,TV,Free
54,2026-03-27,Urban,Mobile,Free
55,2025-09-22,Urban,Mobile,Free
56,2026-06-04,Urban,Mobile,Free
57,2026-05-20,Suburban,Mobile,Premium
58,2025-08-02,Urban,Mobile,Premium
59,2024-12-11,Suburban,Mobile,Basic
60,2026-01-23,Urban,Laptop,Basic
61,2025-10-05,Rural,Mobile,Basic
